time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1682062712.8043318,0,0,0.3,0.11994942504657233,-139.5,-69.9,340.74,-57.3,45.9,363.97,-91.2,184.2,271.04,-9.6,41.4,416.24
1682062712.8200269,0,0,0.3,0.12134248071642861,-136.2,-67.2,340.74,-58.5,48.3,365.42,-91.5,184.8,272.01,-10.2,40.5,413.34
1682062712.851699,0,0,0.3,0.12134248071642861,-140.4,-69.0,343.64,-57.0,46.5,364.45,-90.6,184.5,271.52,-6.9,42.0,412.37
1682062712.8732417,0,0,0.3,0.12134248071642861,-138.9,-68.7,347.51,-57.9,47.7,365.9,-91.8,185.4,270.07,-9.0,40.8,415.27
1682062712.899776,0,0,0.3,0.12170907431375921,-138.3,-67.2,345.58,-59.7,46.8,364.45,-89.1,184.5,270.56,-6.6,41.1,413.34
1682062712.9154034,0,0,0.3,0.12170907431375921,-136.8,-66.9,343.16,-59.4,45.0,362.03,-87.9,185.1,273.94,-8.4,41.7,413.34
1682062712.9469287,0,0,0.3,0.12178239303322534,-137.1,-68.4,343.64,-57.9,45.6,362.52,-88.5,184.5,271.52,-7.5,41.7,418.18
1682062712.9627044,0,0,0.3,0.12178239303322534,-139.8,-68.7,342.19,-59.7,47.4,364.45,-89.1,182.7,272.98,-9.0,39.6,415.27
1682062712.9947932,0,0,0.3,0.12178239303322534,-138.0,-66.6,339.77,-58.5,48.3,362.52,-88.8,186.3,271.04,-9.6,40.5,413.34
1682062713.0104196,0,0,0.3,0.12178239303322534,-139.2,-65.7,339.77,-58.2,47.7,364.45,-89.4,185.1,272.01,-9.0,39.6,413.82
1682062713.042008,0,0,0.3,0.12178239303322534,-138.6,-67.2,343.64,-57.3,48.6,364.45,-90.0,185.7,266.2,-7.5,42.3,415.27
1682062713.057738,0,0,0.3,0.12178239303322534,-137.4,-67.5,343.64,-57.9,47.1,366.87,-91.8,184.2,271.04,-10.5,40.8,412.85
