time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1681389497.2052124,0.0,0.0,0.3,0.02280212175396332,48.3,-180.9,-208.12,-194.1,-240.9,518.85,-40.5,-78.9,-28.56,-45.9,-186.3,195.05
1681389497.236472,0.0,0.0,0.3,0.022948759192895563,48.0,-182.4,-208.6,-194.4,-241.8,517.4,-40.5,-75.0,-31.94,-45.0,-184.5,198.44
1681389497.2562637,0.0,0.0,0.3,0.023168715351293924,49.2,-180.6,-207.15,-193.8,-240.6,517.88,-39.9,-76.5,-26.14,-44.7,-186.9,197.96
1681389497.2839072,0.0,0.0,0.3,0.023168715351293924,46.5,-179.7,-202.8,-192.0,-241.8,518.85,-41.7,-76.8,-28.07,-45.3,-188.4,195.54
1681389497.2998936,0.0,0.0,0.3,0.023242034070760042,49.2,-181.5,-207.15,-194.1,-243.0,521.27,-40.5,-77.1,-32.91,-45.9,-188.1,195.05
1681389497.3313286,0.0,0.0,0.3,0.023242034070760042,48.3,-180.9,-205.22,-190.8,-241.5,516.91,-40.8,-76.2,-28.56,-45.9,-188.7,195.05
1681389497.346962,0.0,0.0,0.3,0.023242034070760042,49.5,-180.6,-206.67,-191.4,-243.3,517.4,-40.5,-76.8,-32.91,-44.1,-189.0,196.99
1681389497.3782127,0.0,0.0,0.3,0.023242034070760042,44.7,-181.8,-201.83,-192.0,-241.8,518.36,-40.5,-78.6,-27.59,-44.1,-188.7,194.08
1681389497.3952646,0.0,0.0,0.3,0.023242034070760042,48.0,-181.8,-206.18,-193.5,-241.5,519.82,-41.7,-75.3,-31.46,-46.5,-186.6,196.5
1681389497.4263546,0.0,0.0,0.3,0.023242034070760042,50.1,-181.5,-204.73,-189.3,-241.5,515.94,-39.6,-76.5,-28.56,-46.5,-189.3,196.5
1681389497.442216,0.0,0.0,0.3,0.023242034070760042,46.5,-180.9,-207.15,-192.3,-242.1,516.43,-41.1,-78.3,-30.98,-45.6,-186.9,196.99
1681389497.4735038,0.0,0.0,0.3,0.023242034070760042,47.7,-180.3,-204.25,-192.0,-242.7,517.88,-39.0,-77.1,-28.56,-44.7,-187.2,194.08
1681389497.4956126,0.0,0.0,0.3,0.023315352790226167,48.9,-181.2,-205.7,-192.9,-242.7,516.43,-40.2,-78.6,-29.04,-48.9,-186.3,196.5
1681389497.5210252,0.0,0.0,0.3,0.023315352790226167,48.9,-181.5,-204.25,-192.6,-240.0,517.4,-40.2,-76.8,-27.1,-46.5,-185.7,193.6
1681389497.5366533,0.0,0.0,0.3,0.023315352790226167,46.8,-180.9,-205.7,-191.1,-242.4,521.27,-40.2,-77.4,-31.46,-44.7,-187.8,196.99
1681389497.5679154,0.0,0.0,0.3,0.023315352790226167,48.9,-178.8,-205.7,-194.7,-240.9,518.85,-40.2,-75.9,-26.14,-46.2,-185.1,196.02
1681389497.595635,0.0,0.0,0.3,0.023315352790226167,49.8,-182.7,-207.64,-191.7,-242.1,518.85,-39.9,-76.5,-31.46,-45.3,-187.5,196.02
1681389497.615333,0.0,0.0,0.3,0.023388671509692285,48.6,-180.3,-207.64,-192.3,-242.1,517.4,-40.2,-77.1,-29.52,-47.1,-186.3,195.05
1681389497.6309671,0.0,0.0,0.3,0.023388671509692285,47.7,-183.3,-203.28,-192.9,-240.6,517.88,-42.3,-78.9,-29.04,-45.3,-188.1,192.15
1681389497.6626308,0.0,0.0,0.3,0.023388671509692285,49.2,-182.1,-207.64,-192.9,-243.9,518.36,-40.2,-75.3,-29.04,-46.8,-186.0,198.44
1681389497.6782377,0.0,0.0,0.3,0.023388671509692285,47.1,-181.8,-205.7,-192.9,-241.8,515.94,-41.7,-78.3,-30.01,-45.3,-188.7,196.5
1681389497.7099369,0.0,0.0,0.3,0.023388671509692285,47.1,-180.0,-206.67,-193.5,-241.5,518.85,-39.6,-77.7,-29.52,-44.7,-188.4,197.47
1681389497.7259893,0.0,0.0,0.3,0.023388671509692285,47.7,-180.6,-202.8,-191.1,-240.9,517.88,-39.6,-76.5,-31.46,-46.5,-185.7,197.47
1681389497.757664,0.0,0.0,0.3,0.023388671509692285,45.6,-182.4,-206.18,-192.0,-240.3,515.46,-40.2,-77.4,-31.46,-44.1,-185.4,194.57
1681389497.7737105,0.0,0.0,0.3,0.023388671509692285,47.1,-181.2,-209.09,-194.1,-243.9,519.82,-40.2,-78.0,-29.04,-45.6,-187.2,197.47
1681389497.8047576,0.0,0.0,0.3,0.023388671509692285,47.4,-181.8,-207.15,-192.3,-243.3,518.36,-40.2,-78.3,-30.49,-45.0,-187.5,196.5
1681389497.8360417,0.0,0.0,0.3,0.023388671509692285,49.5,-181.5,-207.15,-193.2,-239.4,517.88,-40.5,-75.3,-30.98,-45.6,-188.1,194.08
1681389497.852053,0.0,0.0,0.3,0.023388671509692285,48.0,-181.8,-203.76,-193.8,-241.8,516.91,-40.2,-78.3,-25.65,-46.2,-188.4,199.89
1681389497.8684363,0.0,0.0,0.3,0.023388671509692285,46.8,-181.2,-206.18,-191.1,-243.6,518.85,-39.9,-77.4,-28.07,-45.3,-187.5,194.57
1681389497.899768,0.0,0.0,0.3,0.023388671509692285,48.3,-180.9,-207.15,-192.3,-242.7,515.94,-40.5,-78.3,-30.98,-45.6,-187.2,196.99
1681389497.931556,0.0,0.0,0.3,0.023388671509692285,45.0,-181.8,-205.7,-190.2,-241.5,518.36,-39.3,-75.0,-31.46,-45.6,-186.9,196.5
1681389497.947378,0.0,0.0,0.3,0.023388671509692285,46.5,-181.8,-203.76,-191.1,-241.5,517.88,-38.4,-76.2,-29.52,-44.7,-188.4,196.02
1681389497.978665,0.0,0.0,0.3,0.023388671509692285,48.6,-181.5,-206.67,-190.5,-240.9,519.33,-43.2,-78.6,-31.94,-45.6,-189.0,198.44
1681389497.997009,0.0,0.0,0.3,0.023388671509692285,47.7,-181.5,-205.7,-192.3,-243.9,516.43,-39.3,-78.6,-26.62,-44.7,-186.9,194.57
1681389498.026182,0.0,0.0,0.3,0.023388671509692285,49.8,-180.9,-204.73,-191.7,-240.3,518.36,-38.7,-77.1,-32.91,-43.8,-189.0,194.08
1681389498.0440598,0.0,0.0,0.3,0.023388671509692285,48.0,-181.8,-205.22,-191.1,-243.3,517.88,-38.7,-78.6,-29.52,-44.1,-186.6,194.57
1681389498.074125,0.0,0.0,0.3,0.023388671509692285,45.6,-181.8,-205.7,-190.8,-240.9,518.85,-41.1,-77.4,-31.46,-44.1,-187.5,196.99
1681389498.0975792,0.0,0.0,0.3,0.023388671509692285,48.6,-179.1,-204.73,-193.2,-242.4,520.3,-42.6,-76.8,-29.52,-43.5,-188.4,195.54
1681389498.1217678,0.0,0.0,0.3,0.023388671509692285,48.3,-180.6,-204.73,-190.2,-241.8,515.46,-40.2,-76.2,-32.91,-46.5,-188.1,193.6
1681389498.1375957,0.0,0.0,0.3,0.023388671509692285,48.0,-180.9,-207.64,-192.0,-240.6,518.36,-41.4,-78.9,-30.49,-40.8,-186.3,195.54
1681389498.1689618,0.0,0.0,0.3,0.023388671509692285,47.7,-180.9,-206.67,-192.6,-241.8,517.4,-37.8,-78.6,-30.01,-46.8,-187.8,192.63
1681389498.1848216,0.0,0.0,0.3,0.023388671509692285,49.5,-181.5,-207.64,-191.1,-241.5,517.88,-39.6,-77.1,-27.59,-46.2,-187.5,195.05
1681389498.2171566,0.0,0.0,0.3,0.023388671509692285,48.0,-181.8,-209.09,-194.1,-240.3,516.43,-41.7,-76.8,-29.52,-45.3,-186.9,196.5
1681389498.2332006,0.0,0.0,0.3,0.023388671509692285,49.2,-180.6,-208.12,-191.7,-242.4,518.36,-39.3,-78.9,-30.98,-45.0,-186.9,194.57
1681389498.2645707,0.0,0.0,0.3,0.023388671509692285,47.4,-179.7,-208.12,-193.2,-240.0,516.43,-37.8,-79.8,-30.01,-46.2,-186.6,198.44
1681389498.2828176,0.0,0.0,0.3,0.023388671509692285,48.3,-182.4,-205.22,-190.5,-243.3,517.4,-40.8,-77.1,-28.56,-44.7,-188.4,196.5
1681389498.312948,0.0,0.0,0.3,0.023388671509692285,48.0,-181.2,-206.18,-193.8,-242.1,515.94,-42.3,-78.3,-31.46,-45.9,-186.6,193.6
1681389498.328992,0.0,0.0,0.3,0.023388671509692285,48.0,-180.3,-207.64,-195.0,-240.0,521.27,-41.4,-76.2,-34.36,-46.5,-187.2,194.57
1681389498.3602333,0.0,0.0,0.3,0.023388671509692285,46.8,-181.8,-206.18,-192.0,-240.9,514.49,-40.5,-77.4,-30.01,-45.3,-186.9,193.6
1681389498.375873,0.0,0.0,0.3,0.023388671509692285,49.8,-181.2,-205.7,-191.7,-240.9,517.88,-39.6,-77.7,-28.07,-45.6,-187.8,194.57
1681389498.408124,0.0,0.0,0.3,0.023388671509692285,49.2,-181.8,-208.12,-192.0,-242.1,517.4,-41.7,-73.8,-30.01,-46.5,-188.7,196.5
1681389498.424165,0.0,0.0,0.3,0.023388671509692285,48.6,-179.7,-205.7,-194.1,-244.2,518.85,-38.1,-78.6,-25.65,-44.4,-185.7,195.54
1681389498.4579577,0.0,0.0,0.3,0.023388671509692285,47.7,-181.5,-206.67,-192.0,-242.7,519.33,-39.3,-78.0,-30.98,-45.0,-187.5,197.47
1681389498.4721327,0.0,0.0,0.3,0.023388671509692285,49.2,-179.4,-204.25,-194.4,-242.4,519.33,-40.2,-80.7,-32.91,-43.8,-187.5,197.47
1681389498.5047026,0.0,0.0,0.3,0.023388671509692285,46.2,-180.9,-205.22,-192.6,-242.7,521.75,-39.3,-77.1,-34.36,-44.1,-184.8,196.5
1681389498.5212264,0.0,0.0,0.3,0.023388671509692285,48.3,-180.9,-205.22,-191.7,-240.6,519.82,-39.6,-78.3,-30.98,-44.1,-188.1,196.99
1681389498.5538538,0.0,0.0,0.3,0.023388671509692285,46.8,-183.0,-205.22,-192.6,-240.9,518.36,-39.9,-78.6,-31.46,-45.3,-186.3,196.99
