time,x,y,d,press,skin0_x,skin0_y,skin0_z,skin1_x,skin1_y,skin1_z,skin2_x,skin2_y,skin2_z,skin3_x,skin3_y,skin3_z
1681971611.1641147,0.0,0.0,0.3,0.07317208202718778,-70.8,-32.1,329.6,-39.3,18.9,345.09,-97.5,82.5,287.01,5.7,6.0,420.11
1681971611.1954088,0.0,0.0,0.3,0.07368531306345061,-72.0,-34.2,331.54,-38.4,20.7,343.64,-96.3,83.7,284.59,9.0,6.6,422.53
1681971611.2120795,0.0,0.0,0.3,0.07383195050238285,-72.0,-33.6,330.57,-38.1,20.1,342.67,-97.2,84.9,282.17,7.2,5.1,421.56
1681971611.228083,0.0,0.0,0.3,0.07383195050238285,-71.1,-34.5,330.09,-39.6,22.5,346.06,-96.9,84.6,285.08,6.0,5.7,424.95
1681971611.2594397,0.0,0.0,0.3,0.07390526922184897,-70.2,-33.6,331.54,-36.3,21.3,341.22,-97.5,83.1,285.08,8.7,6.9,420.11
1681971611.275489,0.0,0.0,0.3,0.07390526922184897,-70.5,-36.3,329.6,-37.8,21.3,342.19,-98.1,84.6,287.01,6.9,6.0,423.98
1681971611.3075721,0.0,0.0,0.3,0.07390526922184897,-70.8,-32.7,331.06,-39.6,19.2,343.64,-99.3,81.6,287.01,6.6,6.9,420.11
1681971611.3232658,0.0,0.0,0.3,0.07390526922184897,-70.5,-32.4,332.99,-37.5,22.8,344.12,-96.0,83.7,286.53,6.6,9.3,422.05
1681971611.3549073,0.0,0.0,0.3,0.07419854409971345,-71.1,-33.6,332.99,-38.7,21.0,342.19,-98.7,82.5,284.11,7.2,6.6,424.95
1681971611.3706956,0.0,0.0,0.3,0.07419854409971345,-70.5,-33.9,329.12,-36.9,20.4,341.22,-100.5,81.3,282.66,6.9,6.0,422.05
1681971611.3867435,0.0,0.0,0.3,0.07434518153864568,-72.0,-32.1,328.15,-38.4,22.5,342.67,-97.5,81.9,285.08,6.9,8.1,423.02
1681971611.4176111,0.0,0.0,0.3,0.07441850025811181,-71.4,-34.5,328.64,-38.7,20.1,340.74,-99.0,82.5,287.5,9.3,6.0,423.02
1681971611.4333422,0.0,0.0,0.3,0.07441850025811181,-72.0,-33.3,330.57,-37.5,20.4,341.22,-97.2,84.6,285.56,8.1,6.6,422.05
1681971611.4650173,0.0,0.0,0.3,0.07478509385544241,-70.5,-33.3,331.54,-36.0,20.7,340.74,-97.5,84.9,283.62,7.8,5.4,422.05
1681971611.4811945,0.0,0.0,0.3,0.07478509385544241,-69.3,-34.2,332.02,-36.0,20.4,342.19,-95.1,82.8,283.14,7.2,6.0,420.6
1681971611.5124846,0.0,0.0,0.3,0.07485841257490854,-70.5,-32.7,333.48,-36.9,20.7,340.74,-98.1,84.3,283.14,6.9,6.9,422.53
1681971611.528315,0.0,0.0,0.3,0.07485841257490854,-72.0,-34.2,330.57,-38.4,21.3,345.58,-96.9,81.3,284.59,8.1,6.3,421.08
1681971611.5597394,0.0,0.0,0.3,0.07493173129437465,-70.8,-34.2,329.6,-38.1,22.2,343.16,-98.4,82.8,283.62,7.8,8.1,422.53
1681971611.5762107,0.0,0.0,0.3,0.07493173129437465,-72.6,-34.2,332.51,-36.6,19.5,342.67,-100.2,83.1,287.5,5.1,9.0,423.5
1681971611.6075017,0.0,0.0,0.3,0.07500505001384077,-72.3,-33.9,330.57,-36.3,20.1,343.64,-96.9,84.9,283.62,8.7,7.8,421.56
1681971611.623129,0.0,0.0,0.3,0.07500505001384077,-71.4,-33.0,329.12,-37.5,19.5,340.25,-98.7,81.6,287.98,8.4,6.3,425.44
1681971611.6391466,0.0,0.0,0.3,0.07500505001384077,-72.0,-34.2,329.6,-38.1,21.9,341.7,-98.7,82.2,287.5,6.6,4.8,423.02
1681971611.6710458,0.0,0.0,0.3,0.0750783687333069,-69.6,-31.2,333.48,-36.6,20.7,342.19,-97.2,81.6,286.53,6.6,5.4,421.08
1681971611.687079,0.0,0.0,0.3,0.0750783687333069,-71.4,-33.9,332.51,-36.9,21.3,344.12,-96.9,85.2,286.04,8.1,5.7,422.53
1681971611.7179554,0.0,0.0,0.3,0.0750783687333069,-71.4,-31.8,332.02,-38.1,20.4,344.12,-98.1,84.3,283.14,7.5,8.1,426.89
1681971611.7335534,0.0,0.0,0.3,0.0750783687333069,-71.4,-33.0,328.64,-35.4,21.0,340.25,-99.3,81.6,286.04,5.4,5.1,421.08
1681971611.7658775,0.0,0.0,0.3,0.0750783687333069,-71.4,-34.2,331.06,-36.9,17.1,342.67,-97.5,81.9,284.59,8.1,8.4,425.44
1681971611.7808862,0.0,0.0,0.3,0.07500505001384077,-72.0,-31.5,331.54,-39.3,20.7,339.77,-97.2,84.0,285.56,6.9,5.7,422.53
1681971611.812169,0.0,0.0,0.3,0.07500505001384077,-70.5,-33.6,329.12,-37.2,17.4,343.64,-95.7,82.8,287.5,9.9,6.3,423.98
